epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.66516775,0.6353758,0.5842674289544508,0.77374804,0.7528372,0.4588543350466082
1,0.77776295,0.7932648,0.4513239720435969,0.79584485,0.81820774,0.4196821316485216
2,0.7950203,0.83265036,0.4209895742643034,0.80925506,0.8436831,0.3963296475811896
3,0.8065311,0.8517904,0.40351611275173915,0.813138,0.85836285,0.3879433573961792
4,0.8131805,0.863607,0.39106538651445855,0.80337054,0.86801815,0.4118156611070361
5,0.8187758,0.8716892,0.38236915423072726,0.8112565,0.8749851,0.4100352808279814
6,0.821867,0.8778176,0.37583317114779907,0.8138185,0.88033795,0.40311392623258613
7,0.8259456,0.8826806,0.3697920736450879,0.8241864,0.88480556,0.37063872145915766
8,0.8281161,0.8867967,0.36487724659940585,0.8255074,0.8885667,0.3688322950044835
9,0.8293971,0.8901953,0.36158276161079794,0.8274689,0.8917126,0.36643381516488505
