epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.60573226,0.57311916,0.6421364565503723,0.74032265,0.67530185,0.5219533606199845
1,0.7491238,0.73319894,0.49890057006445226,0.7623794,0.7693364,0.4592864312679911
2,0.7737733,0.7894724,0.4616839097223703,0.79232216,0.8052548,0.42269533118960495
3,0.78594685,0.8161892,0.44181319356755744,0.7982066,0.8252211,0.41286710333007554
4,0.793299,0.83213776,0.4293331374182826,0.78455627,0.8379833,0.439810068836667
5,0.798921,0.8427934,0.4190302925672697,0.7945639,0.84707904,0.4330981681445344
