epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.5498239,0.75929415,0.6922027448405915,0.57563746,0.6665679,0.6740559035776214
1,0.59171736,0.65469337,0.661912548005021,0.6343621,0.6549429,0.6395425185389464
2,0.6640291,0.66766596,0.597993928751408,0.69733,0.6848567,0.5645243999060534
3,0.72624004,0.7034909,0.523163544514089,0.7456467,0.7210851,0.49755724887727315
4,0.75438994,0.73611414,0.4817363053513598,0.74808854,0.7494328,0.49827406678477565
5,0.7701706,0.7605746,0.45754241638803905,0.7393219,0.77048063,0.49419887850440264
6,0.78034264,0.7789765,0.43984848441682817,0.7596573,0.78686494,0.4653453168753778
7,0.7894561,0.7938106,0.4256760203771329,0.7889996,0.8004108,0.43104043645872503
8,0.7967193,0.80635864,0.41310345204777693,0.7851167,0.81171066,0.43854096988824204
9,0.8026126,0.81660736,0.40239015757271934,0.7944438,0.82121015,0.427469352305546
