epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.71680635,0.7115471,0.6456535796216248,0.78203434,0.81114066,0.4795404997357333
1,0.7874502,0.8338491,0.4603427435922811,0.7936832,0.84800833,0.45070944234213667
2,0.79949474,0.85670525,0.4383941881709626,0.80361074,0.8633118,0.42853463381032786
3,0.80731833,0.8684127,0.4248526043078599,0.80981547,0.8725532,0.4268831651509953
4,0.8130026,0.8759941,0.41486938995034256,0.80701333,0.8789712,0.42953389693199445
5,0.81732583,0.88158435,0.4079986148329074,0.7825147,0.8835596,0.47686265387051235
