epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.52878594,0.52426153,0.696739555788013,0.49133343,0.5375347,0.7350551363905933
1,0.5870606,0.55803925,0.6678734806814561,0.48741043,0.5758975,1.0071727497057177
2,0.6435739,0.5961137,0.6258115059089837,0.50002,0.6130226,1.1239373530147934
3,0.6821315,0.62932926,0.5876080965765887,0.51371044,0.64351434,1.1809601236358953
4,0.71077514,0.65711224,0.5525479371079668,0.4902926,0.6680388,1.9308858148648704
5,0.7382401,0.6790555,0.5158506227551686,0.5035427,0.6889086,1.8125834425341305
6,0.76437515,0.6992057,0.4770056067754104,0.5098675,0.7083883,1.6877824975113251
7,0.7943931,0.7183158,0.433726458828032,0.50254196,0.72691333,2.1085582939900753
8,0.8272844,0.7364879,0.3817359278635476,0.4938153,0.7447879,2.513426107381889
9,0.8630444,0.754125,0.3232682309599385,0.5126296,0.7628625,2.1339941308875394
