epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.7009945,0.68841577,0.5449178276263833,0.78007287,0.794075,0.4563376668282569
1,0.7817081,0.82047546,0.443861255487451,0.7893999,0.8370858,0.42870557262406
2,0.7972086,0.8475333,0.4157668000854363,0.81093633,0.85595226,0.39275994750452864
3,0.80851924,0.8624262,0.3971619886294996,0.81758136,0.86780596,0.3847975575158828
4,0.816245,0.8723248,0.382886791729824,0.8136984,0.8761707,0.3968162726844624
5,0.8243622,0.8797018,0.3687087091705567,0.8206637,0.88283736,0.382344436401289
6,0.8311272,0.8857665,0.3559892831628449,0.80941516,0.888288,0.4171956502921908
7,0.8375231,0.8907372,0.34312290353888747,0.82870984,0.8931142,0.36541576371092954
8,0.843283,0.8954973,0.3304294000122322,0.82682836,0.8975744,0.37755138880636413
9,0.848429,0.8996545,0.31897883728437376,0.83279294,0.90156716,0.3744664735610331
