epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.718483,0.6977253,0.5359558531655821,0.79993707,0.8091572,0.4326448780578255
1,0.80663157,0.83658224,0.4182857082921798,0.8176144,0.8542421,0.39542269382325795
2,0.8215172,0.86483115,0.39125715304495107,0.8307805,0.8728144,0.37632300899107785
3,0.82969445,0.87881947,0.37615613373663914,0.83796686,0.8836349,0.36226551134714347
4,0.8345903,0.8875518,0.3659801181773027,0.8259547,0.89077604,0.3791709506896718
5,0.8401273,0.8935913,0.3561713864794791,0.8441565,0.89621854,0.34902810312857563
6,0.84252274,0.89847714,0.35003038298955763,0.8419534,0.90050715,0.35410919212954955
7,0.84689987,0.9023729,0.34328485067289327,0.8338229,0.9040286,0.3637644789250405
8,0.8488174,0.90550244,0.3387938893426307,0.8415338,0.9069063,0.3613605512268591
9,0.8515684,0.9082021,0.3355481117188961,0.8453105,0.9093913,0.3445593792032575
