,epoch,acc,auc,loss,val_acc,val_auc,val_loss,run_name
0,0,0.6976587,0.6693303,0.5424088581616031,0.7830351,0.7930195,0.44462728949690605,run000
1,1,0.79804033,0.826174,0.4141218489682296,0.8002882,0.8467974,0.4078350373223023,run000
2,2,0.81663644,0.8594525,0.3818691567672375,0.8219847,0.86898446,0.3785568567877695,run000
3,3,0.828125,0.8763754,0.36155316555740535,0.82074374,0.8821787,0.3788302008792395,run000
4,4,0.8392265999999999,0.8872984,0.3432675043917363,0.8154597,0.8914956,0.39300317121204587,run000
5,5,0.8477886,0.8954618000000001,0.3256331734738898,0.80805415,0.898717,0.4080031493728773,run000
6,6,0.85762256,0.9020287,0.3065368849149203,0.8143389,0.90491724,0.40766648434951575,run000
7,7,0.8668428,0.9078794,0.2893810573245014,0.8221048000000001,0.9104468000000001,0.3899709117335295,run000
8,8,0.8783981,0.9132966,0.26728379281546305,0.8179416,0.9157075000000001,0.4114908635158392,run000
9,9,0.88917947,0.91830117,0.24603308120565084,0.8111364999999999,0.92059606,0.4429287610065178,run000
0,0,0.55241245,0.5358331999999999,0.6893374519133684,0.62123215,0.57797736,0.6683316143770988,run001
1,1,0.68054813,0.6285474,0.5913076491116069,0.6205116,0.6726615,0.6439807924624442,run001
2,2,0.7434974,0.70332843,0.5100006667153214,0.7369601,0.73011935,0.5363009557147033,run001
3,3,0.7684270999999999,0.7497874,0.4694926629578358,0.7492094,0.76551926,0.5784834438455547,run001
4,4,0.7867608,0.77844185,0.4391748359203636,0.6244746,0.7886485,0.6390218548905987,run001
5,5,0.7986052,0.79748,0.4176875868318573,0.7014530999999999,0.8052701999999999,0.8999711293035524,run001
6,6,0.8093064999999999,0.81237304,0.3977030777273535,0.74756813,0.8191834,0.5752769543022566,run001
7,7,0.8200656999999999,0.8255960999999999,0.3781393323811564,0.71834594,0.8310788,0.6471528002512897,run001
8,8,0.83127403,0.83640057,0.3596046592964937,0.66874826,0.8402001,2.049255323642805,run001
9,9,0.8431584000000001,0.84414905,0.3371343704024285,0.7146231,0.84840703,0.9268102839913472,run001
0,0,0.6827898,0.67043155,0.5629649812208768,0.7814339,0.7790241999999999,0.4434372886023204,run002
