epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.6113276,0.6158076,0.6391645407438312,0.49357513,0.65418315,1.201395889441274
1,0.71523625,0.6885638,0.5296583511274644,0.49213403,0.71261454,1.552846893935289
2,0.78445685,0.73783815,0.4283904169558622,0.50774586,0.7580131,1.4729022728458103
3,0.8752847,0.784457,0.277251846727128,0.54349303,0.80701596,1.3739433088238504
4,0.9547974,0.8320349,0.11891411177502936,0.53044313,0.8518634,2.01986804154252
5,0.98509556,0.8687957,0.046090240457517105,0.5022617,0.8813454,5.136566669855472
6,0.99073976,0.89071137,0.030081228634493168,0.54597497,0.89994913,3.0811378841649706
7,0.99300814,0.9071286,0.02206583068196175,0.5130699,0.91297865,4.61996744536865
8,0.99378645,0.9175349,0.01962402020559491,0.5390497,0.92229,2.992666574641013
9,0.99500513,0.9261755,0.015756380594585898,0.53977025,0.92943454,3.8611600958430965
