epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.7250525,0.72059476,0.5132155142880397,0.7888395,0.8205342,0.43282743883957175
1,0.7996771,0.8443152,0.4107068764841687,0.7980865,0.8588534,0.4189350187167926
2,0.81549335,0.8685137,0.3813845618197696,0.81529963,0.8759079,0.3876943078688638
3,0.8291747,0.8822489,0.35666308201634195,0.8114167,0.8872662,0.39444943294692286
4,0.84195757,0.8920866,0.3308707012707692,0.8186222,0.8962644,0.3828713675047463
5,0.8560926,0.90060705,0.3024361234340141,0.81854206,0.904217,0.3944149276196346
6,0.87057894,0.9081726,0.2718315011718428,0.81742126,0.9115356,0.41128585387436284
