epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.7071591,0.68604743,0.531229724923566,0.7863176,0.8036452,0.4400706866639219
1,0.7993213,0.8330467,0.4129894307769205,0.80008805,0.8515439,0.4070994166726492
2,0.81790847,0.86323106,0.38028328809298634,0.8183419,0.8721152,0.38102785568021325
3,0.82993966,0.87913734,0.3586445154891016,0.8226252,0.884746,0.37644286968872887
4,0.8400228,0.8897269,0.33971773635080665,0.8195829,0.89383936,0.37932265578040547
5,0.8497856,0.8978163,0.32075208654627735,0.8069733,0.9009772,0.41974234136439165
6,0.8599888,0.9042446,0.3016778936106187,0.8179416,0.9071167,0.4028231440190698
7,0.8724559,0.9102033,0.27918919362313355,0.8142188,0.9128945,0.40325345410446656
8,0.8846828,0.9157842,0.255319245134242,0.8173812,0.9183026,0.4358095979835557
9,0.8978882,0.92111284,0.22807762726660608,0.8134182,0.92354715,0.46375034693819345
