,epoch,acc,auc,loss,val_acc,val_auc,val_loss,run_name
0,0,0.61379635,0.60329133,0.6401897658757181,0.687822,0.67469543,0.5694564060771956,run000
1,1,0.68554926,0.7058138,0.564295525674827,0.69086653,0.7257412,0.559104536747218,run000
2,2,0.70259297,0.7387344,0.5387154797046302,0.70503515,0.7492313,0.5352095455935831,run000
3,3,0.71992296,0.7580013000000001,0.5187190345616892,0.7251755999999999,0.765653,0.5131795622603723,run000
4,4,0.7367716,0.7727921,0.5001649245422218,0.7179156999999999,0.7788759,0.5165203866105847,run000
5,5,0.7467376,0.7844133000000001,0.4850317691365741,0.7406323,0.78942454,0.4977542506007666,run000
6,6,0.7568468,0.794275,0.471855222702715,0.7370023,0.7984588,0.499848982535498,run000
7,7,0.765759,0.80262256,0.4587445071224952,0.7457845000000001,0.80637175,0.4893152124705386,run000
8,8,0.77598524,0.8102636,0.4425908376954791,0.74613583,0.8137353,0.4929699795913607,run000
9,9,0.7836874,0.8172311999999999,0.4292346777820229,0.7406323,0.82032484,0.5103362163856682,run000
0,0,0.7009812,0.68578553,0.5449477695384631,0.7789520000000001,0.7939647,0.4571482892530981,run001
1,1,0.78297573,0.8206356,0.4425490036874017,0.7942836,0.8376334999999999,0.42322321135011737,run001
2,2,0.79942805,0.84840876,0.4135334412961002,0.8108162,0.85683846,0.3925310046043576,run001
3,3,0.8091508000000001,0.8632713,0.3961866112521893,0.81822187,0.8686084999999999,0.3845914187250842,run001
4,4,0.81758827,0.8731793,0.3806207325166887,0.8177415,0.87706995,0.3911525956647192,run001
5,5,0.82476693,0.8805978000000001,0.36675460539692456,0.8161803000000001,0.8837171999999999,0.3897379403134925,run001
0,0,0.74536145,0.75311977,0.493104015540059,0.8135952,0.8405026,0.3995359546179726,run002
1,1,0.81193435,0.8594777,0.40174434649628893,0.82109445,0.8724465,0.3768829479105682,run002
2,2,0.8314950000000001,0.8813188,0.3664110709712685,0.84284973,0.8885632,0.3411514126339534,run002
3,3,0.8434574,0.89435977,0.34367275415922155,0.85317045,0.8992051999999999,0.3273635720148364,run002
4,4,0.8518476,0.90337366,0.32654927908518866,0.8579595999999999,0.90692574,0.31723439344149656,run002
5,5,0.8585548000000001,0.9101207,0.3130562961309044,0.85365313,0.91284204,0.3257662005957013,run002
6,6,0.864899,0.9154138,0.3003635689420493,0.8542841999999998,0.9176908000000001,0.32342370551061816,run002
0,0,0.7207216999999999,0.70784956,0.5167667413051701,0.7956512,0.8189542,0.4184003529422599,run003
1,1,0.80189395,0.8435415,0.4116283869955464,0.8138982,0.85956097,0.3842528764278658,run003
2,2,0.8166937,0.8690491,0.38632319239767776,0.82550997,0.8764700999999999,0.3724362533312545,run003
3,3,0.82503265,0.8819128,0.37076330231760135,0.83066577,0.8865419,0.3617116207183476,run003
4,4,0.8321859,0.8903498,0.3591425085684621,0.83062094,0.89357096,0.357580359830224,run003
5,5,0.8377950000000001,0.8964636,0.3480537597896837,0.83402824,0.8990469000000001,0.3510652489345988,run003
6,6,0.84237295,0.9014165999999999,0.3393437727964675,0.8332661,0.9034284,0.3523934762804739,run003
7,7,0.8465374,0.90542036,0.3302386812423701,0.83582157,0.9071411,0.3513900297196535,run003
0,0,0.74246097,0.7412673000000001,0.5079224856158109,0.8064415,0.8320219999999999,0.4230192465795167,run004
1,1,0.8141094,0.8538947,0.4027273558901013,0.8208665,0.8682075999999999,0.3904623556319599,run004
2,2,0.8271475,0.8771030999999999,0.37687767503401903,0.8319344999999999,0.8837099,0.3698405034077548,run004
