epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.61379635,0.60329133,0.6401897658757181,0.687822,0.67469543,0.5694564060771956
1,0.68554926,0.7058138,0.564295525674827,0.69086653,0.7257412,0.559104536747218
2,0.70259297,0.7387344,0.5387154797046302,0.70503515,0.7492313,0.5352095455935831
3,0.71992296,0.7580013,0.5187190345616892,0.7251756,0.765653,0.5131795622603723
4,0.7367716,0.7727921,0.5001649245422218,0.7179157,0.7788759,0.5165203866105847
5,0.7467376,0.7844133,0.4850317691365741,0.7406323,0.78942454,0.4977542506007666
6,0.7568468,0.794275,0.471855222702715,0.7370023,0.7984588,0.499848982535498
7,0.765759,0.80262256,0.45874450712249515,0.7457845,0.80637175,0.4893152124705386
8,0.77598524,0.8102636,0.44259083769547913,0.74613583,0.8137353,0.4929699795913607
9,0.7836874,0.8172312,0.42923467778202284,0.7406323,0.82032484,0.5103362163856682
