epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.6871605,0.7103803,0.5713031765641587,0.74083954,0.7707209,0.5040548805549793
1,0.7571536,0.7934853,0.4881887098921949,0.776338,0.81087667,0.4620212666456708
2,0.7846729,0.8233669,0.44549190442206804,0.8014918,0.8336512,0.42442196285683104
3,0.79824805,0.84154403,0.42326396996583415,0.79795283,0.8480385,0.42582180543773474
4,0.8065238,0.85341686,0.4097051070648922,0.8135787,0.85808533,0.39355814266781153
5,0.8122346,0.8622101,0.39897271491047825,0.81379646,0.86569995,0.3968334091301579
6,0.81621516,0.86883456,0.3917311767646445,0.8201666,0.87157184,0.3875866347553942
7,0.8208249,0.8742355,0.3845048932081945,0.81858766,0.87641335,0.39069333708867793
8,0.82335967,0.8785062,0.37906350267397726,0.82376003,0.8803984,0.3824992949266363
9,0.8264752,0.88222307,0.3738464585400711,0.8216366,0.88382673,0.3876282709102286
