epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.6827898,0.67043155,0.5629649812208768,0.7814339,0.7790242,0.4434372886023204
1,0.795723,0.8167058,0.417139616683274,0.79896724,0.840012,0.407405835527464
2,0.81481284,0.85394186,0.3842628973462228,0.8186222,0.86434495,0.38101232284143394
3,0.8284675,0.8724744,0.36211004701076904,0.82246506,0.87885904,0.3786173901698348
4,0.83777666,0.8844482,0.3418729488374419,0.8193827,0.889096,0.3804093331680484
5,0.8485536,0.8933787,0.32414805342769637,0.78875947,0.8967659,0.460876338503463
6,0.85935277,0.90025115,0.3030255728430671,0.82082385,0.9034075,0.39796407638826004
7,0.8704144,0.9067355,0.28205929014319064,0.82450664,0.9096572,0.3821980079061205
8,0.8831883,0.9127881,0.2580289265900159,0.8213042,0.9154871,0.4155760195664346
9,0.8966028,0.91845864,0.23022968863845433,0.8112565,0.921028,0.4633594297931533
