epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.725998,0.7097249,0.5166454837002796,0.80617875,0.8222151,0.4069845063306034
1,0.8134701,0.8483538,0.40001085521586227,0.8242641,0.86566055,0.37768389265644486
2,0.8380909,0.87723804,0.35547180658455446,0.85189605,0.8866692,0.331813436812347
3,0.8535393,0.89395225,0.3278481772504627,0.8543357,0.8999796,0.3284373190419928
4,0.8646564,0.9051048,0.3061034192384053,0.86048794,0.90949124,0.3164642800102433
5,0.8748335,0.91354346,0.28500054085878274,0.8651021,0.91706854,0.3090656976174843
6,0.8864633,0.92069507,0.25992737959879425,0.86401486,0.9236936,0.31665588647133475
7,0.89961344,0.92705226,0.22949761319762166,0.8577035,0.9298176,0.34925095875750267
