,epoch,acc,auc,loss,val_acc,val_auc,val_loss,run_name
0,0,0.7240116999999999,0.7208551,0.5131432106233275,0.7905208,0.82042104,0.4304662036319548,run000
1,1,0.7997972,0.8442446,0.4105219748279426,0.79928744,0.8589709000000001,0.4133998457242217,run000
2,2,0.8161961,0.86875695,0.3804843399674761,0.8143789,0.876167,0.3888079439040641,run000
3,3,0.82973063,0.88262296,0.3547649814758143,0.8104559,0.8876589,0.3989115294674829,run000
4,4,0.8428204,0.8925635000000001,0.32815636987242514,0.8189024,0.89677805,0.3851337188070165,run000
5,5,0.8569821,0.90113866,0.3001952215514461,0.8106960999999999,0.90471387,0.4061464702379001,run000
6,6,0.8708725,0.9086513,0.2689391385473989,0.819743,0.91202414,0.4280830087133048,run000
7,7,0.88642186,0.9156867,0.2383109378913291,0.81205714,0.9188215000000001,0.4694431989421536,run000
8,8,0.90068585,0.92219853,0.20841313483099366,0.81009567,0.9251219,0.5114991400491031,run000
9,9,0.91389126,0.92821836,0.18153288932606065,0.8086946,0.9308700999999999,0.6243544388073526,run000
0,0,0.6831056,0.6691851,0.5642591299976408,0.74752814,0.7709965,0.48722163092693205,run001
1,1,0.7836651,0.80597675,0.4365530830770604,0.6055401999999999,0.8222035,0.8696944550271224,run001
2,2,0.82109755,0.83631486,0.3746934574608522,0.6473720000000001,0.84729385,0.8382018403306355,run001
3,3,0.8639918,0.8604226999999999,0.295984021373546,0.60141706,0.86876005,1.3099747075199624,run001
4,4,0.9203539000000001,0.8806406999999999,0.1882917065337721,0.6077419,0.88948965,1.7936902233183614,run001
5,5,0.9572214,0.899249,0.10868045019577496,0.6210720000000001,0.90701437,2.165765507740568,run001
6,6,0.9691591999999999,0.9139243,0.07879413687054289,0.6231936,0.91962695,2.3876852997114812,run001
7,7,0.9751591999999999,0.92451537,0.06495477388493377,0.6386854000000001,0.92905146,1.8601634993281089,run001
8,8,0.97902435,0.9330016,0.05589326288226672,0.6037789000000001,0.9355804,3.7374543187121434,run001
9,9,0.9812749,0.93780935,0.04973182121579426,0.70229375,0.9411936,1.092778954125473,run001
0,0,0.7175045999999999,0.7094194,0.5233991703264036,0.792082,0.81379426,0.4292335862749365,run002
1,1,0.8003843,0.8404855999999999,0.40920058684569377,0.7940034,0.85655,0.4219686391735962,run002
2,2,0.8171390000000001,0.8669761999999999,0.3789843421550285,0.81529963,0.8749261,0.3891996799535315,run002
3,3,0.83121175,0.88164467,0.35340643450304965,0.81229734,0.88700336,0.3958339492686656,run002
4,4,0.84426147,0.8921041999999999,0.3264010061206094,0.8209439000000001,0.8965040000000001,0.379324114057456,run002
