epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.6828832,0.7192273,0.5647637652614468,0.7353589,0.7762657,0.5175033309967967
1,0.78119665,0.807378,0.43999660494367504,0.69032466,0.8250413,0.6720048381580891
2,0.81642735,0.83985054,0.37986496068725994,0.678916,0.850642,0.668588525755152
3,0.8582364,0.8632004,0.3066673352875647,0.7178656,0.87296605,0.7119542131923072
4,0.9108757,0.8855964,0.20509378239360007,0.67795527,0.8945378,1.115549699454622
5,0.9523422,0.90470946,0.1200513089421948,0.602578,0.91134554,2.098386687187242
6,0.96799386,0.9176175,0.08266723558429544,0.6063008,0.9227264,2.3171410325261146
7,0.9738961,0.927202,0.06791749776957288,0.7478484,0.93251526,1.0350370574885652
8,0.9777434,0.9371485,0.05869222900884147,0.7085785,0.9408996,1.229757527999041
9,0.9815596,0.944241,0.049822506547100916,0.62587565,0.9462735,2.4847136836465586
