epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.66736495,0.6388156,0.5818001852765013,0.77386814,0.7562004,0.45860644247712
1,0.77630854,0.79484177,0.45264164886259467,0.7768304,0.8181804,0.44748727568018604
2,0.79431754,0.832067,0.42178985967366844,0.8077339,0.8430601,0.3966698221642901
3,0.8050989,0.8511638,0.4040555856186645,0.8147792,0.857787,0.3892582117480902
4,0.81282914,0.8631576,0.39079596091050167,0.8007686,0.8676238,0.41505703993532783
5,0.819096,0.87147707,0.3799566635594234,0.81253755,0.87487483,0.4005008799556962
6,0.8231702,0.8778098,0.3737371168031741,0.82242507,0.8805369,0.3760683497464077
7,0.8260212,0.8829675,0.3679208117957396,0.8231056,0.8851617,0.37316818115099903
8,0.82947266,0.8871754,0.36255663895140194,0.8243465,0.88899136,0.37195609578631444
9,0.8315053,0.8906827,0.3583985412092506,0.8244666,0.8922291,0.3705201477251193
