epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.568331,0.5497478,0.7712909411029228,0.711861,0.6152929,0.5974057710964457
1,0.7366389,0.6892063,0.5624593912986755,0.77070576,0.73830837,0.5071834538432456
2,0.76575845,0.7645825,0.5145331969892423,0.780273,0.7840521,0.4837159179771145
3,0.7770024,0.79705787,0.499509381871048,0.7918418,0.8076412,0.47001230415247774
4,0.7831714,0.8155446,0.4885278948970561,0.7731476,0.82208675,0.5073851698988073
5,0.78827745,0.82729423,0.4816899281212519,0.78647774,0.8320428,0.49093405392006634
6,0.79023004,0.83585155,0.4781666353139194,0.8021296,0.8394653,0.45913553150148917
7,0.7934769,0.84257907,0.47338294952369775,0.7984868,0.8453837,0.458927015565269
8,0.795256,0.84785783,0.47005698010601143,0.8030103,0.8501258,0.4577669588402963
9,0.7968439,0.8521769,0.4673947723974216,0.80345064,0.8540587,0.45480011135492376
