epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.7009812,0.68578553,0.5449477695384631,0.778952,0.7939647,0.4571482892530981
1,0.78297573,0.8206356,0.4425490036874017,0.7942836,0.8376335,0.42322321135011737
2,0.79942805,0.84840876,0.4135334412961002,0.8108162,0.85683846,0.39253100460435764
3,0.8091508,0.8632713,0.39618661125218924,0.81822187,0.8686085,0.38459141872508423
4,0.81758827,0.8731793,0.3806207325166887,0.8177415,0.87706995,0.39115259566471916
5,0.82476693,0.8805978,0.36675460539692456,0.8161803,0.8837172,0.38973794031349246
