epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.6831056,0.6691851,0.5642591299976408,0.74752814,0.7709965,0.487221630926932
1,0.7836651,0.80597675,0.43655308307706037,0.6055402,0.8222035,0.8696944550271224
2,0.82109755,0.83631486,0.3746934574608522,0.647372,0.84729385,0.8382018403306355
3,0.8639918,0.8604227,0.29598402137354596,0.60141706,0.86876005,1.3099747075199624
4,0.9203539,0.8806407,0.1882917065337721,0.6077419,0.88948965,1.7936902233183614
5,0.9572214,0.899249,0.10868045019577496,0.621072,0.90701437,2.165765507740568
6,0.9691592,0.9139243,0.07879413687054289,0.6231936,0.91962695,2.387685299711481
7,0.9751592,0.92451537,0.06495477388493377,0.6386854,0.92905146,1.8601634993281086
8,0.97902435,0.9330016,0.055893262882266724,0.6037789,0.9355804,3.7374543187121425
9,0.9812749,0.93780935,0.04973182121579426,0.70229375,0.9411936,1.0927789541254733
