epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.72501546,0.7305495,0.5315068625621977,0.7787043,0.8108976,0.46098160357030055
1,0.78314894,0.83007723,0.4488991014572804,0.7951789,0.8427298,0.4237869082315371
2,0.79515976,0.85093325,0.4265323223982811,0.79613906,0.8569497,0.42407752538556137
3,0.8035095,0.8619866,0.41156616413892505,0.7973014,0.865854,0.42119705923979767
4,0.8083497,0.8693329,0.4023344354982546,0.80599356,0.87215656,0.4023816492122417
5,0.8126734,0.8749035,0.393103131486375,0.80629677,0.87714416,0.40011980209315895
6,0.81623334,0.8793665,0.3853454653344167,0.8039721,0.88122827,0.40015933692166183
7,0.81966424,0.88306105,0.37748357656328835,0.80872244,0.88470525,0.3961324732729573
8,0.82301086,0.88634735,0.3702341781546649,0.8088741,0.88777226,0.3998883751521404
9,0.8266719,0.88928586,0.3627464093172113,0.8088235,0.89055496,0.4012422790523489
