epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.7240117,0.7208551,0.5131432106233275,0.7905208,0.82042104,0.4304662036319548
1,0.7997972,0.8442446,0.4105219748279426,0.79928744,0.8589709,0.41339984572422184
2,0.8161961,0.86875695,0.3804843399674761,0.8143789,0.876167,0.3888079439040641
3,0.82973063,0.88262296,0.3547649814758143,0.8104559,0.8876589,0.3989115294674829
4,0.8428204,0.8925635,0.32815636987242514,0.8189024,0.89677805,0.3851337188070165
5,0.8569821,0.90113866,0.3001952215514461,0.8106961,0.90471387,0.4061464702379001
6,0.8708725,0.9086513,0.26893913854739887,0.819743,0.91202414,0.4280830087133048
7,0.88642186,0.9156867,0.23831093789132907,0.81205714,0.9188215,0.46944319894215364
8,0.90068585,0.92219853,0.20841313483099372,0.81009567,0.9251219,0.5114991400491031
9,0.91389126,0.92821836,0.18153288932606065,0.8086946,0.9308701,0.6243544388073526
