epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.60204506,0.6065915,0.6459581945510355,0.66930866,0.6630523,0.5904164463663223
1,0.71408427,0.7050131,0.5320959982711163,0.73379767,0.73946273,0.5078973656808826
2,0.7592069,0.76280504,0.470574030955395,0.768424,0.7814632,0.4626272150366621
3,0.78064066,0.7957188,0.43783456962974515,0.7808735,0.80751324,0.44486719912702694
4,0.79437536,0.8171242,0.4144019401885957,0.78948003,0.82552063,0.43033234013313676
5,0.8049343,0.83266026,0.39624630853135023,0.77322763,0.83883077,0.4550101248960031
6,0.8146305,0.8442976,0.38074923963427815,0.79452384,0.8493618,0.4185504947744892
7,0.8222006,0.8539602,0.3676912702626392,0.79952765,0.8581347,0.4133301949493406
8,0.82870764,0.86202836,0.3561047141130302,0.8035307,0.8655227,0.4099611886985667
9,0.8342674,0.86887026,0.3441128360253085,0.8032505,0.87191665,0.4191637384191289
