epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.5458431,0.6023456,0.6920188000479248,0.61414677,0.5871974,0.66357153444223
1,0.66655546,0.62638974,0.6091484554332527,0.62887794,0.66524947,0.6498861505379292
2,0.73293394,0.6942624,0.5295962271896432,0.6918058,0.71947086,0.5885959965070751
3,0.7605768,0.7385012,0.48435328837188263,0.73667985,0.7550542,0.5296561475580847
4,0.777714,0.76831776,0.4561706914937873,0.70693725,0.7792299,0.6140336692142425
5,0.7908527,0.7886052,0.43287113982332576,0.62923825,0.7946709,4.222824240892782
6,0.8019277,0.8003042,0.41201615518496104,0.6523758,0.80573183,3.3131598271143345
7,0.8125045,0.8108417,0.39527171913273534,0.63043916,0.81493,4.513223337298128
8,0.8207506,0.81890476,0.3776801382709764,0.5924903,0.82190746,5.513157893740185
9,0.8305668,0.82502127,0.35974714203973357,0.5875265,0.8277071,5.784375024170027
