epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.57126653,0.54815966,0.671246204189076,0.71846604,0.6219601,0.5478665459323937
1,0.7415092,0.6956048,0.5105494720410103,0.76638246,0.74377465,0.46214024448783997
2,0.77019286,0.7697396,0.4650669473928839,0.7720668,0.7888877,0.4507827496730869
3,0.78060955,0.8016834,0.4493801643954759,0.7955246,0.8122519,0.42349947117526615
4,0.78700095,0.8201483,0.43974765041647407,0.7867179,0.82678777,0.44301171389989147
5,0.79127526,0.832064,0.433234750011386,0.79044074,0.836701,0.4495801999401802
6,0.79349023,0.8404468,0.42893893779206405,0.7982467,0.84392726,0.42795460806174557
7,0.79562074,0.84688854,0.42536191972237164,0.80032825,0.8495988,0.4151106064712269
8,0.7977601,0.851973,0.4229722288043503,0.80020815,0.85416585,0.4150668453573036
9,0.7995926,0.85613674,0.4182184155364467,0.8036508,0.85798883,0.41237995964349766
