epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.74536145,0.75311977,0.49310401554005895,0.8135952,0.8405026,0.3995359546179726
1,0.81193435,0.8594777,0.40174434649628904,0.82109445,0.8724465,0.3768829479105682
2,0.831495,0.8813188,0.3664110709712685,0.84284973,0.8885632,0.3411514126339534
3,0.8434574,0.89435977,0.34367275415922155,0.85317045,0.8992052,0.3273635720148364
4,0.8518476,0.90337366,0.32654927908518866,0.8579596,0.90692574,0.31723439344149656
5,0.8585548,0.9101207,0.3130562961309044,0.85365313,0.91284204,0.32576620059570127
6,0.864899,0.9154138,0.3003635689420493,0.8542842,0.9176908,0.32342370551061816
