,epoch,acc,auc,loss,val_acc,val_auc,val_loss,run_name
0,0,0.7250525,0.72059476,0.5132155142880397,0.7888395,0.8205341999999999,0.43282743883957175,run000
1,1,0.7996770999999999,0.8443152,0.4107068764841687,0.7980865,0.8588534,0.4189350187167926,run000
2,2,0.81549335,0.8685136999999998,0.3813845618197696,0.81529963,0.8759079,0.3876943078688638,run000
3,3,0.8291746999999999,0.8822489,0.35666308201634195,0.8114167,0.8872662,0.3944494329469229,run000
4,4,0.84195757,0.8920866,0.3308707012707692,0.8186222,0.8962644000000001,0.3828713675047463,run000
5,5,0.8560926,0.90060705,0.3024361234340141,0.81854206,0.904217,0.3944149276196346,run000
6,6,0.87057894,0.9081726000000001,0.2718315011718428,0.81742126,0.9115356,0.4112858538743629,run000
0,0,0.71680635,0.7115471,0.6456535796216248,0.78203434,0.81114066,0.4795404997357333,run001
1,1,0.7874502,0.8338491,0.4603427435922811,0.7936831999999999,0.84800833,0.4507094423421367,run001
2,2,0.79949474,0.85670525,0.4383941881709626,0.80361074,0.8633118000000001,0.4285346338103279,run001
3,3,0.80731833,0.8684127,0.4248526043078599,0.80981547,0.8725531999999999,0.4268831651509953,run001
4,4,0.8130026,0.8759940999999999,0.41486938995034256,0.80701333,0.8789712,0.4295338969319945,run001
5,5,0.81732583,0.88158435,0.4079986148329074,0.7825147,0.8835596,0.4768626538705124,run001
0,0,0.7009945,0.68841577,0.5449178276263833,0.78007287,0.794075,0.4563376668282569,run002
1,1,0.7817081,0.82047546,0.443861255487451,0.7893998999999999,0.8370858,0.42870557262406,run002
2,2,0.7972085999999999,0.8475333,0.4157668000854363,0.81093633,0.85595226,0.39275994750452864,run002
3,3,0.80851924,0.8624261999999999,0.3971619886294996,0.81758136,0.86780596,0.3847975575158828,run002
4,4,0.816245,0.8723248,0.3828867917298239,0.8136984,0.8761707000000001,0.3968162726844624,run002
5,5,0.8243621999999999,0.8797018,0.3687087091705567,0.8206636999999999,0.88283736,0.382344436401289,run002
6,6,0.8311272,0.8857665000000001,0.3559892831628449,0.80941516,0.888288,0.4171956502921908,run002
7,7,0.8375231,0.8907371999999999,0.3431229035388875,0.82870984,0.8931142,0.3654157637109296,run002
8,8,0.843283,0.8954972999999999,0.3304294000122322,0.82682836,0.8975744000000001,0.3775513888063641,run002
9,9,0.8484290000000001,0.8996545,0.31897883728437376,0.83279294,0.90156716,0.3744664735610331,run002
0,0,0.69495445,0.68180823,0.7539259491781546,0.76125854,0.7846814999999999,0.533401470960484,run003
1,1,0.7748941,0.8110133,0.4971650982561391,0.7766301999999999,0.8277493,0.4826435549673594,run003
2,2,0.78889126,0.83810604,0.4678197477639587,0.7980465,0.84632635,0.4497071282792641,run003
3,3,0.79691947,0.8524103999999999,0.4536421155827976,0.8065329999999999,0.8574678,0.4397357125192995,run003
4,4,0.80256814,0.86151457,0.44415738799712895,0.8017693,0.86495984,0.4515873763171262,run003
5,5,0.8073139,0.86789715,0.4367208886300944,0.76942474,0.8701303,0.5285188990684462,run003
0,0,0.60573226,0.57311916,0.6421364565503723,0.74032265,0.67530185,0.5219533606199845,run004
1,1,0.7491238,0.73319894,0.4989005700644522,0.7623794,0.7693364,0.4592864312679911,run004
2,2,0.7737733,0.7894724,0.4616839097223703,0.79232216,0.8052548,0.42269533118960495,run004
3,3,0.78594685,0.8161892,0.44181319356755744,0.7982066,0.8252210999999999,0.4128671033300755,run004
4,4,0.793299,0.83213776,0.4293331374182826,0.78455627,0.8379833000000001,0.439810068836667,run004
5,5,0.798921,0.8427934000000001,0.4190302925672697,0.7945639,0.84707904,0.4330981681445344,run004
0,0,0.6198806,0.5822286999999999,0.9656052106645179,0.7512909999999999,0.6944876999999999,0.5887007419873749,run005
1,1,0.7554751999999999,0.7479723,0.5502840328602125,0.7770706000000001,0.7804548000000001,0.4954066470971333,run005
2,2,0.7737109999999999,0.7982951,0.4995822153482857,0.7842359999999999,0.81176805,0.4707873566183482,run005
3,3,0.7837052,0.8211487,0.4815925227829679,0.7920019,0.82882905,0.4588260729815072,run005
4,4,0.78954506,0.8348180000000001,0.4696750861480981,0.7891598000000001,0.8399068999999999,0.476579565330672,run005
5,5,0.7952826999999999,0.84412867,0.4613313475078136,0.7821144,0.8478025,0.4916644107154481,run005
