epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.61843956,0.77649283,0.6339058739242138,0.49589688,0.7173803,1.1746829989319727
1,0.7184609,0.7308566,0.5252258281825005,0.49061286,0.7417947,1.7176070330466564
2,0.7860803,0.75975144,0.4257444240435971,0.4988191,0.77420837,1.861607995280154
3,0.8736701,0.7960192,0.2780416465625262,0.5332853,0.8152125,1.5142219562116872
4,0.9543303,0.8377102,0.1196969492022805,0.49729794,0.85448885,3.282367200613327
5,0.98486423,0.8690631,0.04759293637418666,0.49417558,0.8808946,5.329705450431027
6,0.9910778,0.8898792,0.028963342022098226,0.50882673,0.8980151,4.984764666548154
7,0.99278575,0.90421534,0.023539762466383347,0.49445578,0.90947425,6.132735342359726
8,0.9943246,0.91358167,0.01728627681840035,0.49257436,0.9172745,7.147020005844008
9,0.9948584,0.9201684,0.01576536608118239,0.52632,0.9233612,5.017121378499323
