epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.6964921,0.6647122,0.5424724578146012,0.7985653,0.79505783,0.42546713363953387
1,0.7983671,0.8278364,0.41598242138027186,0.81721586,0.8484851,0.38821853800913764
2,0.81553805,0.8602596,0.389521496830116,0.82205784,0.8693203,0.3773777838248933
3,0.82392675,0.8757496,0.37493418809053386,0.8308003,0.88104206,0.36537745361046126
4,0.8307015,0.88542175,0.36251535197374785,0.8327729,0.8891045,0.35978215806800407
5,0.8370279,0.8923514,0.3519952493252272,0.8366734,0.8952313,0.3520039991425571
6,0.8406942,0.89777815,0.3456658157878383,0.83810806,0.8999366,0.34981315238501437
7,0.8447043,0.90204626,0.33836103898203623,0.8399462,0.90382415,0.343884271810559
8,0.84764826,0.9055545,0.3331322645246861,0.83949786,0.9070755,0.3447891111255333
9,0.8497006,0.9085365,0.32828964278869893,0.8394082,0.90984756,0.3443382197703939
