epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.7380603,0.73517483,0.4987542456822528,0.8131497,0.8353637,0.4011015261472546
1,0.813572,0.85701716,0.39849568591010226,0.83122957,0.87144786,0.3649031359950112
2,0.8283229,0.8802872,0.3712330365748087,0.83768934,0.8871322,0.3520290441899571
3,0.83712554,0.89229363,0.3547055816947497,0.84689635,0.89666885,0.3363482222810494
4,0.84331715,0.9003431,0.3423353079530482,0.8518711,0.9034297,0.32953970123197435
5,0.84918284,0.90623254,0.3320386775827771,0.8485299,0.90857625,0.33253686723350206
6,0.8528417,0.9106847,0.32659863123594723,0.85205674,0.9125037,0.3269737356733929
7,0.8554652,0.9142305,0.3205969505533336,0.8531334,0.9157291,0.32359469944341307
8,0.8575483,0.917173,0.3157832321604232,0.8563261,0.9184412,0.3187995919064041
9,0.8613556,0.9196877,0.3104723031705264,0.8578111,0.9208031,0.3213589099941514
