epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.7005896,0.68716526,0.5598211752323481,0.7674853,0.78535455,0.4798435717821121
1,0.77732044,0.8108385,0.46209703836270216,0.7888114,0.8273314,0.4401582825684991
2,0.79019594,0.8375211,0.43898128026780425,0.7898221,0.84508115,0.43398253351642707
3,0.7976866,0.85090035,0.4266495804247432,0.78906405,0.8552949,0.4337965982786185
4,0.8026335,0.8591211,0.41778398115032883,0.8039721,0.86236125,0.41329357615862533
5,0.80639565,0.86529446,0.40992694535095586,0.80897516,0.86781937,0.4035531566835934
6,0.80935484,0.8701332,0.4048971294155219,0.8077117,0.8720884,0.4025207764093396
7,0.8111517,0.8739085,0.3994142391632271,0.80614513,0.87557346,0.40486381558299356
8,0.8134876,0.87702876,0.39498559976924014,0.80291086,0.87845016,0.4172481918645753
9,0.8160256,0.8797521,0.39095063239555233,0.80872244,0.88094217,0.40474775482929803
