epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.74246097,0.7412673,0.5079224856158109,0.8064415,0.832022,0.4230192465795167
1,0.8141094,0.8538947,0.40272735589010134,0.8208665,0.8682076,0.3904623556319599
2,0.8271475,0.8771031,0.37687767503401903,0.8319345,0.8837099,0.36984050340775476
3,0.8358784,0.8890085,0.36005251630802865,0.8356064,0.8932307,0.35875533419292444
4,0.8413979,0.8967772,0.3485947410694411,0.83156735,0.89975363,0.37204774341627256
5,0.8461597,0.90238976,0.33792443485860846,0.8444188,0.9048104,0.34746055983181967
6,0.8511604,0.90703505,0.32871495496901965,0.8455204,0.90903425,0.34237813947709816
7,0.8554326,0.91091853,0.31992484028126705,0.8463596,0.9126042,0.34548740672422634
8,0.85825944,0.9142383,0.3109639118980594,0.84594,0.91569805,0.35370938435521904
