epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.6963955,0.67505795,0.5970543976263413,0.7786718,0.7906735,0.4769452755815241
1,0.7884465,0.8209437,0.45718250745404254,0.7877987,0.8399701,0.45902620227327723
2,0.8054414,0.85149914,0.4276325037369413,0.8151795,0.8606491,0.4116474184876596
3,0.816036,0.86764604,0.41030765386017815,0.8193027,0.8731958,0.4110152617945943
4,0.822423,0.8777326,0.39899097062507366,0.8122173,0.8815051,0.42179243814643763
5,0.82844967,0.8848169,0.38951337945968584,0.7685441,0.8872839,0.501358123908771
6,0.8320568,0.88957113,0.3824208737418603,0.81161684,0.8918161,0.4258621188784531
7,0.8370606,0.8939747,0.3761226460274013,0.823626,0.8959662,0.3977980773881669
8,0.8400984,0.8978829,0.3696874525189111,0.82462674,0.89955604,0.4011702992203294
9,0.84373665,0.9012018,0.3641571953384762,0.82454664,0.9026693,0.40013623318698127
