epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.53101873,0.76144606,0.6964317922141862,0.50678515,0.6554002,0.7193046721621451
1,0.59544903,0.64379984,0.6622614392672989,0.49305472,0.64059365,0.9579767959142311
2,0.65021884,0.64871734,0.6203340167652125,0.5143109,0.65709186,0.9568455389458758
3,0.68612117,0.667631,0.5822893001103109,0.54873705,0.67758954,0.9359448982376448
4,0.7146047,0.6881737,0.5464264909682995,0.49813858,0.69611347,1.4880581377372242
5,0.7416471,0.7049237,0.5092303354060874,0.52664024,0.7130822,1.2977027806063468
6,0.7694634,0.7221702,0.4688985400620838,0.5477363,0.7305305,1.194233803224014
7,0.80154073,0.73995686,0.42208509827061846,0.5215163,0.7478416,1.605501928417997
8,0.8360954,0.7568537,0.36788565046271937,0.507946,0.7646818,1.9438862525088838
9,0.87188214,0.7736055,0.3051386924920227,0.5302029,0.78189355,1.971606194648639
