epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.6198806,0.5822287,0.965605210664518,0.751291,0.6944877,0.5887007419873749
1,0.7554752,0.7479723,0.5502840328602125,0.7770706,0.7804548,0.49540664709713333
2,0.773711,0.7982951,0.4995822153482857,0.784236,0.81176805,0.4707873566183482
3,0.7837052,0.8211487,0.4815925227829679,0.7920019,0.82882905,0.4588260729815072
4,0.78954506,0.834818,0.46967508614809805,0.7891598,0.8399069,0.47657956533067203
5,0.7952827,0.84412867,0.46133134750781357,0.7821144,0.8478025,0.4916644107154481
