epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.66469634,0.63447577,0.6558849143324043,0.7765502,0.7530158,0.49723762458860493
1,0.7735865,0.79231334,0.49496203539757827,0.78703815,0.81577325,0.4690026112482734
2,0.7894339,0.8292096,0.4682459598282549,0.79884714,0.83951277,0.4494808427464794
3,0.79760444,0.8469001,0.4541872187615408,0.80781394,0.8529833,0.43697749581975
4,0.8033865,0.8578155,0.4451137572174869,0.79732597,0.8618199,0.45846894138257727
5,0.80774087,0.8650885,0.4395503916324602,0.78267485,0.86785835,0.5028720675716022
6,0.8103873,0.87018156,0.43521120534388474,0.81133664,0.87254333,0.44280661893448053
7,0.81413233,0.8746624,0.4309778022782656,0.817101,0.87662405,0.42331794165694914
8,0.81595147,0.8784497,0.4277800064037668,0.8231856,0.8800883,0.4167240888271457
9,0.8169878,0.8815415,0.4274577529236161,0.82178456,0.8829191,0.41863109652196245
