epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.5896314,0.74999624,0.6615743710615172,0.65806013,0.70063496,0.6008998378061913
1,0.70605606,0.72424614,0.5410165327683053,0.72639203,0.748998,0.5197244826298822
2,0.75531954,0.7684492,0.47596621509284043,0.76494133,0.7846905,0.46851484138857236
3,0.776571,0.79747725,0.44327494247193233,0.7768704,0.8082197,0.4504679684144434
4,0.78998095,0.81704825,0.4204441030098058,0.7865978,0.8248545,0.4365247561048988
5,0.8015763,0.8315717,0.4024916099845184,0.77018535,0.8374132,0.4597463504424397
6,0.8113569,0.8426428,0.3867798181939441,0.7920019,0.8475362,0.4224146339617832
7,0.81831324,0.8519822,0.3734413780989918,0.7964453,0.85604954,0.4138230515331526
8,0.8254563,0.859863,0.3613826671852249,0.801329,0.8632996,0.41236609204764096
9,0.8320035,0.86662424,0.348875016608447,0.8006885,0.8696571,0.42024782179317005
